Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,UCBLinearBandit,TSMultiArmedBandit,TSLinearBandit,PHEMultiArmedBandit,PHELinearBandit
101,17.51350529070167,16.15066116648041,33.11220751309983,6.447840508505595,34.969788381674654,23.02345065570002,32.645746802885554,6.447840508505595
102,17.581196855783368,16.372362028342806,33.36547944668042,6.449235783943171,35.319058484918244,23.115929172065947,32.84803825810198,6.449235783943171
103,17.7494576874192,16.440594495114148,33.75859761990876,6.450631059380745,35.83113201900177,23.32217652821648,33.208782110001486,6.450631059380745
104,17.922723778842812,16.544312518766603,34.05578722535281,6.453048855439644,36.16146176578691,23.390420134623554,33.36686230656803,6.453048855439644
105,18.02452386039305,16.74447269940838,34.23945252400748,6.455466651498543,36.61954162442565,23.47161367748484,33.65084907392922,6.455466651498543
106,18.113888531835816,16.783360707237616,34.53463382202662,6.457884447557442,36.924537278850686,23.62983492463727,34.021285030277205,6.457884447557442
107,18.242084791921798,16.99786123003829,34.85374867143282,6.46030224361634,37.267902306470184,23.714940479007378,34.25738987637677,6.46030224361634
108,18.38292208135315,17.02425011375071,35.10567993670704,6.471367087918042,37.660972725856574,23.78315437861757,34.56140647255375,6.471367087918042
109,18.42886435852699,17.166898411022196,35.44370266657882,6.47378488397694,38.02055733924714,23.85170547773186,34.90692203221083,6.47378488397694
110,18.486406928835873,17.315229495036785,35.75738222653883,6.476202680035838,38.465148633212394,23.958159575327112,35.29008401333858,6.476202680035838
111,18.645042898309235,17.470980016228957,36.17013347039057,6.478620476094737,38.80620937785348,24.113225736349563,35.67427127528141,6.478620476094737
112,18.69878047184008,17.618047860725135,36.473203591501736,6.4810382721536355,39.276215150016064,24.199517160425067,36.02407622989656,6.4810382721536355
113,18.909673593713997,17.64443674443756,36.753074491739696,6.483456068212535,39.63174603131154,24.343128546091652,36.27840360791797,6.483456068212535
114,19.112654723329644,17.783950648529004,36.993722309787074,6.485873864271433,39.93521141203138,24.410745225083904,36.6234392780746,6.485873864271433
115,19.1420910776112,17.89955014107583,37.25719896426544,6.488291660330331,40.33363357625618,24.56834156739402,37.01848691624934,6.488291660330331
116,19.205689798466338,17.92547431100076,37.49136623386628,6.49070945638923,40.71150652516745,24.658087347879032,37.24275141782711,6.49070945638923
117,19.304081774335494,18.18662194991784,37.87400559927778,6.4931272524481285,41.00589960709665,24.81290142903245,37.45134344846746,6.4931272524481285
118,19.404725263557815,18.238751159601716,38.17117441261056,6.495545048507028,41.32239978485974,24.928177020574307,37.823404346910245,6.495545048507028
119,19.48697886051838,18.283622590512728,38.39021960202353,6.497962844565926,41.59671378319861,25.022110439360993,38.032744851091046,6.497962844565926
120,19.684656486660295,18.31001147422515,38.63441865665751,6.500380640624824,41.916655501514725,25.123575252547493,38.374870133993184,6.500380640624824
121,19.714092840941852,18.45734218621692,38.916467352591575,6.502798436683723,42.18191007873132,25.21505954613841,38.713272457111046,6.502798436683723
122,19.74352919522341,18.48373106992934,39.157254812304274,6.5052162327426215,42.538061220172445,25.40094246064502,39.061883641570624,6.5052162327426215
123,19.84727853929281,18.62183296977394,39.537687859661176,6.507634028801521,42.92113026780707,25.544402907249488,39.34213067859729,6.507634028801521
124,19.89281572118172,18.717512315178617,39.869679257455644,6.510051824860419,43.245446092693484,25.64516983837431,39.50624356741768,6.510051824860419
125,20.117216337903848,18.828651729380375,40.202954070386724,6.512469620919317,43.61059990793217,25.68013094051222,39.80234400211709,6.512469620919317
126,20.21291070948178,18.995904673054675,40.49596910366168,6.514887416978216,44.015278545956605,25.840431928510686,40.0050229708303,6.514887416978216
127,20.34440313637198,19.13933534965144,40.81573661464822,6.5173052130371145,44.310842977459984,25.90837748592592,40.35794353676775,6.5173052130371145
128,20.4213425833526,19.2326607192783,41.20315258798435,6.519723009096014,44.58958762815191,25.965109597228594,40.559777401758524,6.519723009096014
129,20.54328784434133,19.303629339849042,41.44498306054344,6.522140805154912,44.937658862393434,26.149924525720216,40.83598760771521,6.522140805154912
130,20.676178985751402,19.52477392399634,41.79286674719741,6.52455860121381,45.24069114305508,26.22456416787291,41.109569993302465,6.52455860121381
131,20.70561534003296,19.596058938606408,42.03295245931081,6.526976397272709,45.566130907884954,26.259845992609634,41.481541278164904,6.526976397272709
132,20.921936106098574,19.62244782231883,42.40251892850907,6.5293941933316075,45.969882759763706,26.3809964895647,41.76603897496629,6.5293941933316075
133,21.016648488159,19.686227074454866,42.63674889883161,6.531811989390507,46.32789787942448,26.50733737644107,42.09865631542618,6.531811989390507
134,21.156510083535625,19.875276540753735,42.92920908037542,6.534229785449405,46.62744616140372,26.621176847025033,42.412577594966294,6.534229785449405
135,21.272715954329062,19.92830310598115,43.202700378591196,6.536647581508303,46.91023166727418,26.729762482162307,42.661538593311874,6.536647581508303
136,21.383857570688257,20.01323333427634,43.55631962421256,6.539065377567202,47.311307387334345,26.832924611343106,42.89900404608525,6.539065377567202
137,21.413293924969814,20.09400776321387,43.81138133437455,6.5414831736261005,47.57736103335702,27.036028578076763,43.09910983452351,6.5414831736261005
138,21.474553589238592,20.12039664692629,44.12925804636186,6.543900969685,47.84902929983291,27.084942167562378,43.33219003388761,6.543900969685
139,21.50398994352015,20.189667383600877,44.329897848840886,6.546318765743898,48.09091086645552,27.169025429871617,43.62929650267967,6.546318765743898
140,21.567732172703916,20.223483667442054,44.639048946951945,6.548736561802796,48.38417433320518,27.246908467764577,43.905490691619725,6.548736561802796
141,21.680092510345425,20.302963905390037,44.912076017734435,6.551154357861695,48.657531518748705,27.35050346413472,44.20661952686861,6.551154357861695
142,21.80968727121188,20.450677038784264,45.16672567566123,6.553572153920594,49.083196928151445,27.430587954557474,44.53873799211614,6.553572153920594
143,21.850367004105212,20.477065922496685,45.42661675807351,6.555989949979493,49.53057441644482,27.47196598800673,44.827892086130284,6.555989949979493
144,21.96983488130461,20.609971616807982,45.68337223775438,6.558407746038391,49.80600169763575,27.55671139825522,45.09699247864195,6.558407746038391
145,22.033582247357767,20.651580109210794,45.92640898926946,6.560825542097289,50.085122174368465,27.687851508481156,45.43146912009037,6.560825542097289
146,22.083504478619236,20.753212343342387,46.21144132755366,6.563243338156188,50.49115198616134,27.77446773498852,45.713265366079824,6.563243338156188
147,22.158730446505626,20.941291223551858,46.559261139628674,6.565661134215087,50.88898295633366,27.960780482842146,45.98888744349831,6.565661134215087
148,22.188166800787183,21.038935448863437,46.80022089259214,6.568078930273986,51.10962567055516,28.083335856560854,46.2840578980901,6.568078930273986
149,22.37258433523815,21.162541704614217,47.165790153295255,6.56947420571156,51.4070602240162,28.15635332686504,46.595751216569354,6.56947420571156
150,22.512532320532607,21.204014892464464,47.491775300975064,6.571892001770459,51.70650619156625,28.21268044194563,46.94477074481945,6.571892001770459
151,22.589277646776623,21.244358879495636,47.782974020828085,6.573287277208034,52.06259726088425,28.261662748721868,47.16008718261934,6.573287277208034
152,22.64983467191398,21.336645391103808,48.082957539622754,6.578625477413651,52.32336802767126,28.318616315655454,47.40156581264658,6.578625477413651
153,22.769163254168724,21.40487785787515,48.25519088700088,6.583963677619268,52.63661521036571,28.514271604391176,47.66607922648154,6.583963677619268
154,22.843354117199727,21.585170903804126,48.51472717291603,6.589301877824885,53.047475475757196,28.573416778784036,47.91168009265405,6.589301877824885
155,22.9519033909857,21.700007582646496,48.785882114000344,6.594640078030501,53.39237021870124,28.643090017383685,48.06252354897044,6.594640078030501
156,23.042872711866657,21.814252528618287,49.1667586096102,6.599978278236118,53.75790088283882,28.735168445006053,48.35325076330971,6.599978278236118
157,23.106303715320184,21.885797988371866,49.58196917954145,6.605316478441734,54.1130266127602,28.89349822281943,48.610334185046405,6.605316478441734
158,23.146795216671574,22.035936812488195,49.80636105916297,6.610654678647352,54.35830657553521,28.984182666419677,48.94989847930476,6.610654678647352
159,23.172831447296453,22.142730274946064,50.096672374318,6.6159928788529685,54.66250594602582,29.03473075899435,49.31511878172381,6.6159928788529685
160,23.352525551645844,22.211975518183134,50.38782986451669,6.621331079058585,55.019249169698256,29.09111469696311,49.57667584913814,6.621331079058585
161,23.488902564185402,22.304572329790467,50.62245761402199,6.626669279264202,55.30775900747314,29.138599236912732,49.8657262657372,6.626669279264202
162,23.54273482832543,22.33107333889823,50.90681565450643,6.632007479469818,55.675559025394115,29.364641106427047,50.20531916377882,6.632007479469818
163,23.564185975644406,22.390172222812506,51.083947592795106,6.637345679675436,55.898939957474795,29.443951392897862,50.524459588377894,6.637345679675436
164,23.63824408612121,22.501900337274073,51.37500043350317,6.642683879881052,56.29651645960551,29.54563057595206,50.7569558091583,6.642683879881052
165,23.694415406847593,22.687301401282685,51.630243601090044,6.648022080086669,56.67409103610787,29.586291008837684,50.930231827574296,6.648022080086669
166,23.715866554166574,22.78598220432132,51.82830126974396,6.6533602802922855,57.02262731141769,29.664338116648423,51.21187732924134,6.6533602802922855
167,23.901695275882638,22.968445818689247,52.18598374870082,6.658698480497902,57.2366082255326,29.708721906851952,51.39442272759584,6.658698480497902
168,23.989682984208937,23.156293038195933,52.49148773270974,6.66403668070352,57.540553380411474,29.79690777201453,51.50374848512405,6.66403668070352
169,24.165493109276085,23.182794047303698,52.81825689330551,6.669374880909136,57.86483362409153,29.86989845251041,51.8005504909933,6.669374880909136
170,24.186944256595062,23.31036408459829,53.126882381414646,6.674713081114753,58.27562796818055,29.914618932225824,52.20098242562149,6.674713081114753
171,24.217304741923886,23.369011506824638,53.39054393641567,6.680051281320369,58.77178319659051,30.01193605472932,52.49673423338779,6.680051281320369
172,24.266147774451294,23.500096891873422,53.600111464670455,6.685389481525986,59.18534487838686,30.06727264243029,52.802301094073826,6.685389481525986
173,24.389539170702843,23.637300695544084,53.95502953471705,6.6907276817316035,59.57096440612899,30.15438552634921,53.05103300587874,6.6907276817316035
174,24.52820292975243,23.68768968366562,54.103873653294315,6.69606588193722,59.89665802117893,30.21382445095482,53.35285148603343,6.69606588193722
175,24.611056042929597,23.780027690505168,54.32214372563285,6.701404082142837,60.13674414313898,30.26578488599668,53.47546819767937,6.701404082142837
176,24.632507190248578,23.81213834119555,54.74290688726349,6.706742282348453,60.41743835105708,30.421926776986243,53.72191458213001,6.706742282348453
177,24.754796687815947,23.95953613322696,55.02227816979032,6.71208048255407,60.735191034149715,30.574986593274595,54.12130130656974,6.71208048255407
178,24.836613859183856,23.995613657132274,55.28111297731597,6.717418682759687,61.13212950983369,30.6491500756642,54.43265392113616,6.717418682759687
179,24.952324154090913,24.059376311316203,55.590531112534336,6.722756882965304,61.41300237894817,30.70740013350915,54.6983113931435,6.722756882965304
180,25.002477996443368,24.185837094987196,55.98848611950291,6.7280950831709205,61.733285151350366,30.893060022486015,54.87639930707055,6.7280950831709205
181,25.140621470929112,24.281207510251143,56.26636754308041,6.733433283376537,61.99678732491363,30.99745410877904,55.078654396205835,6.733433283376537
182,25.159396697604365,24.424332729231203,56.56669923127929,6.738771483582154,62.409542182745156,31.095886887269295,55.324546938587886,6.738771483582154
183,25.178171924279617,24.594350425818554,56.9338414897849,6.741189279641053,62.75898368593778,31.278875790810083,55.61216607459303,6.741189279641053
184,25.220303095113977,24.720195633126497,57.22304876693043,6.743607075699951,63.20994376951252,31.29848411960358,55.72626497976696,6.743607075699951
